hqc,source_dir,run,metric,metric_label,us
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123426_hqc256,run1,bench,bench batched decode,116.259
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,open_close,open-close,58657.73
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,ping,ping,539.582
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_in_malloc,payload-in malloc,618.377
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_out_malloc,payload-out malloc,526.026
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_inout_malloc,payload-inout malloc,568.333
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,586.824
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,532.168
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,593.841
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,565.055
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,549.392
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,599.126
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,decode_one,decode-one,622.363
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_123822_hqc256,run1,bench,bench batched decode,115.945
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,open_close,open-close,57256.867
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,ping,ping,525.533
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_in_malloc,payload-in malloc,586.31
